TaxaNo,Genus,Species,Feeding,ClassNo
600,Propeamussium,dalli,suspension,15
601,Macrocallista,maculata,suspension,15
602,Chlamys,ornata,suspension,15
603,Arca,occidentalis,suspension,15
604,Pitar,dione,suspension,15
605,Mactra,alata,suspension,15
606,Arca,umbonata,suspension,15
607,Erignathus,barbatus,migratory,12
608,Pusa,hispida,migratory,12
609,Acanthocardia,paucicostata,unknown,15
610,Lithophyllum,byssoides,unknown,2
611,Lithophyllum,incrustans,unknown,2
612,Tenarea,tortuosa,unknown,2
613,Tridonta,elliptica,suspension,15
614,Pseudamussium,septemradiatum,suspension,15
615,Nucula,tenuis,suspension,15
617,Macoma,constricta,unknown,15
618,Lucina,jamaicensis,unknown,15
619,Pitar,circinata,unknown,15
620,Divaricella,quadrisulcata,unknown,15
621,Laevicardium,sybariticum,unknown,15
622,Nerita,ascensionis,unknown,18
623,Oliva,litterata,unknown,18
624,Atrina,seminuda,unknown,15
625,Neritina,virginea,unknown,18
626,Cerithium,atratum,unknown,18
627,Chione,pubera,unknown,15
628,Donax,hanleyanus,unknown,15
629,Anatina,plicatella,unknown,15
630,Mactrella,alata,unknown,15
631,Mulinia,quadelupensis,unknown,15
632,various,sp.,suspension,7
633,Pocillopora,meandrina,suspension,4
634,Porites,cylindrica,suspension,4
635,Stylophora,subseriata,suspension,4
636,Goniopora,sp.,suspension,4
637,Mussidae,sp.,suspension,4
638,Lobophyllia,sp.,suspension,4
639,Cyphastrea,sp.,suspension,4
640,Goniastrea,sp.,suspension,4
641,Paneopea,generosa,suspension,15
642,Lima,vulgaris,Suspension,15
643,Dosinia,japonica,Suspension,15
644,Nerita,albicilla,Herbivore,18
645,Melo,amphora,Carnivore,18
646,Acanthopleura,spinosa,Algal Grazer,15
647,Abranda,tenuilamellata,Suspension/Depos,15
648,Dosinia,scalaris,Suspension,15
649,Clypeomorus,bifasciata,Herbivore/Deposi,18
650,Chama,limbula,suspension,15
651,Modiolus,auriculatus,suspension,15
652,Barbatia,grayana,suspension,15
653,Bursa,granularis,unknown,15
654,Nerita,undata,herbivore,18
655,Rochia,nilotica,algal grazer,18
656,Antigona,lamellaris,suspension,15
657,Placamen,lamellatum,herbivore,18
658,Latona,deltoides,suspension,15
659,Glycymeris,grayana,suspension,15
660,Minnivola,pyxidata,suspension,15
661,Dosinia,histrio,suspension,15
662,Cardita,crassicosta,suspension,15
663,Lamarcka,ventricosa,suspension,15
664,Vasticardium,vertebratum,suspension,15
665,Modiolus,rufus,suspension,15
666,Donax,faba,suspension,15
